modelo,window,transform,exog,n_exog,use_tda,estrategia,fold,mae,rmse,mape,r2,__label__
ElasticNet,36,seasonal_diff,ppi_fertilizers+mxn_usd,2,False,exclude,2,42.92110168078096,50.65640266206671,35.5034599794583,-0.5848623167057441,ElasticNet|w36|seasonal_diff|ppi_+mxn_|exclude
ElasticNet,36,seasonal_diff,ppi_fertilizers+mxn_usd,2,False,exclude,3,38.93850431130329,52.35306688546856,26.63877631288032,-0.8990097792287195,ElasticNet|w36|seasonal_diff|ppi_+mxn_|exclude
ElasticNet,36,seasonal_diff,ppi_fertilizers+mxn_usd,2,False,isolation,1,31.099663041463607,38.62187387125738,24.773545089623088,-0.055595277637664,ElasticNet|w36|seasonal_diff|ppi_+mxn_|isolation
ElasticNet,36,seasonal_diff,ppi_fertilizers+mxn_usd,2,False,isolation,2,34.66580224216471,42.68835786549432,26.376084719245952,-0.1254902730223783,ElasticNet|w36|seasonal_diff|ppi_+mxn_|isolation
ElasticNet,36,seasonal_diff,ppi_fertilizers+mxn_usd,2,False,isolation,3,43.77500562903663,58.97520393349984,29.82525469323887,-1.409804703424022,ElasticNet|w36|seasonal_diff|ppi_+mxn_|isolation
ElasticNet,36,seasonal_diff,ppi_fertilizers+mxn_usd,2,True,none,1,29.528085370031672,37.29005809831343,23.63281537516493,0.0159506558832287,ElasticNet|w36|seasonal_diff|ppi_+mxn_|tda
ElasticNet,36,seasonal_diff,ppi_fertilizers+mxn_usd,2,True,none,2,46.88131109579004,54.10559636630303,37.18067572725168,-0.808036631572008,ElasticNet|w36|seasonal_diff|ppi_+mxn_|tda
ElasticNet,36,seasonal_diff,ppi_fertilizers+mxn_usd,2,True,none,3,39.09091735415218,52.89963951628145,26.75007943408817,-0.9388685680538,ElasticNet|w36|seasonal_diff|ppi_+mxn_|tda
ElasticNet,36,seasonal_diff,ppi_fertilizers+mxn_usd,2,True,dummy,1,29.528085370031672,37.29005809831343,23.63281537516493,0.0159506558832287,ElasticNet|w36|seasonal_diff|ppi_+mxn_|tda|dummy
ElasticNet,36,seasonal_diff,ppi_fertilizers+mxn_usd,2,True,dummy,2,46.88131109579004,54.10559636630303,37.18067572725168,-0.808036631572008,ElasticNet|w36|seasonal_diff|ppi_+mxn_|tda|dummy
ElasticNet,36,seasonal_diff,ppi_fertilizers+mxn_usd,2,True,dummy,3,39.09091735415218,52.89963951628145,26.75007943408817,-0.9388685680538,ElasticNet|w36|seasonal_diff|ppi_+mxn_|tda|dummy
ElasticNet,36,seasonal_diff,ppi_fertilizers+mxn_usd,2,True,winsorize,1,29.528085370031672,37.29005809831343,23.63281537516493,0.0159506558832287,ElasticNet|w36|seasonal_diff|ppi_+mxn_|tda|winsorize
ElasticNet,36,seasonal_diff,ppi_fertilizers+mxn_usd,2,True,winsorize,2,46.88131109579004,54.10559636630303,37.18067572725168,-0.808036631572008,ElasticNet|w36|seasonal_diff|ppi_+mxn_|tda|winsorize
ElasticNet,36,seasonal_diff,ppi_fertilizers+mxn_usd,2,True,winsorize,3,39.09091735415218,52.89963951628145,26.75007943408817,-0.9388685680538,ElasticNet|w36|seasonal_diff|ppi_+mxn_|tda|winsorize
ElasticNet,36,seasonal_diff,ppi_fertilizers+mxn_usd,2,True,exclude,1,29.528085370031672,37.29005809831343,23.63281537516493,0.0159506558832287,ElasticNet|w36|seasonal_diff|ppi_+mxn_|tda|exclude
ElasticNet,36,seasonal_diff,ppi_fertilizers+mxn_usd,2,True,exclude,2,46.88131109579004,54.10559636630303,37.18067572725168,-0.808036631572008,ElasticNet|w36|seasonal_diff|ppi_+mxn_|tda|exclude
ElasticNet,36,seasonal_diff,ppi_fertilizers+mxn_usd,2,True,exclude,3,39.09091735415218,52.89963951628145,26.75007943408817,-0.9388685680538,ElasticNet|w36|seasonal_diff|ppi_+mxn_|tda|exclude
ElasticNet,36,seasonal_diff,ppi_fertilizers+mxn_usd,2,True,isolation,1,29.78625907331626,37.23429553061988,23.821435233165143,0.0188914981911141,ElasticNet|w36|seasonal_diff|ppi_+mxn_|tda|isolation
ElasticNet,36,seasonal_diff,ppi_fertilizers+mxn_usd,2,True,isolation,2,34.798138273167,43.85761508761422,26.96653913799196,-0.1879902380488711,ElasticNet|w36|seasonal_diff|ppi_+mxn_|tda|isolation
ElasticNet,36,seasonal_diff,ppi_fertilizers+mxn_usd,2,True,isolation,3,39.00002111439672,52.61768774589158,29.00124176850759,-0.9182555514545668,ElasticNet|w36|seasonal_diff|ppi_+mxn_|tda|isolation
ElasticNet,36,seasonal_diff,diesel_price+mxn_usd,2,False,none,1,31.12749582154932,37.782025537123296,24.3881920714188,-0.0101857331459296,ElasticNet|w36|seasonal_diff|dies+mxn_
ElasticNet,36,seasonal_diff,diesel_price+mxn_usd,2,False,none,2,43.02286692450587,51.42682093956035,34.57393172645345,-0.6334363092597541,ElasticNet|w36|seasonal_diff|dies+mxn_
ElasticNet,36,seasonal_diff,diesel_price+mxn_usd,2,False,none,3,38.21445279452664,51.35573476999083,26.21873426299176,-0.8273462214365737,ElasticNet|w36|seasonal_diff|dies+mxn_
ElasticNet,36,seasonal_diff,diesel_price+mxn_usd,2,False,dummy,1,31.12749582154932,37.782025537123296,24.3881920714188,-0.0101857331459296,ElasticNet|w36|seasonal_diff|dies+mxn_|dummy
ElasticNet,36,seasonal_diff,diesel_price+mxn_usd,2,False,dummy,2,43.02286692450587,51.42682093956035,34.57393172645345,-0.6334363092597541,ElasticNet|w36|seasonal_diff|dies+mxn_|dummy
ElasticNet,36,seasonal_diff,diesel_price+mxn_usd,2,False,dummy,3,38.21445279452664,51.35573476999083,26.21873426299176,-0.8273462214365737,ElasticNet|w36|seasonal_diff|dies+mxn_|dummy
ElasticNet,36,seasonal_diff,diesel_price+mxn_usd,2,False,winsorize,1,31.12749582154932,37.782025537123296,24.3881920714188,-0.0101857331459296,ElasticNet|w36|seasonal_diff|dies+mxn_|winsorize
ElasticNet,36,seasonal_diff,diesel_price+mxn_usd,2,False,winsorize,2,43.02286692450587,51.42682093956035,34.57393172645345,-0.6334363092597541,ElasticNet|w36|seasonal_diff|dies+mxn_|winsorize
ElasticNet,36,seasonal_diff,diesel_price+mxn_usd,2,False,winsorize,3,38.21445279452664,51.35573476999083,26.21873426299176,-0.8273462214365737,ElasticNet|w36|seasonal_diff|dies+mxn_|winsorize
ElasticNet,36,seasonal_diff,diesel_price+mxn_usd,2,False,exclude,1,31.12749582154932,37.782025537123296,24.3881920714188,-0.0101857331459296,ElasticNet|w36|seasonal_diff|dies+mxn_|exclude
ElasticNet,36,seasonal_diff,diesel_price+mxn_usd,2,False,exclude,2,43.02286692450587,51.42682093956035,34.57393172645345,-0.6334363092597541,ElasticNet|w36|seasonal_diff|dies+mxn_|exclude
ElasticNet,36,seasonal_diff,diesel_price+mxn_usd,2,False,exclude,3,38.21445279452664,51.35573476999083,26.21873426299176,-0.8273462214365737,ElasticNet|w36|seasonal_diff|dies+mxn_|exclude
